x,y
0.005674821219706849,-9.384096857344943e-06
0.013411131332912852,-9.477901209330015e-05
0.021290126586602082,-0.0004075774599603917
0.029905045420957215,-0.0011863379079702506
0.038359367832335414,-0.002567248006907941
0.047462321855816204,-0.00479978465541504
0.05683076689936896,-0.007945889690931044
0.06746898237629918,-0.012570603511670398
0.07914337639134796,-0.01890386185218379
0.09270476423341506,-0.027831126515879302
0.10689534456781129,-0.03884685128772732
0.12486271415808768,-0.05456481984132093
0.1462864423265334,-0.07518480146177219
0.16940500114483012,-0.09889583280808327
0.19678701809520358,-0.1275534713341262
0.22778575368276524,-0.15995327948761523
0.2581638165392705,-0.1912373883404727
0.29088678122056344,-0.2248830306651117
0.3238624298225691,-0.2580203416619107
0.360205472162136,-0.29316447737429896
0.4041776274413607,-0.33272118252811084
0.4505343292833239,-0.37007427052744557
0.50483973399125,-0.40818433204230653
0.5585031951368694,-0.4404309136331357
0.6217400812572179,-0.4718314582512869
0.6835422483252176,-0.4956506420867403
0.7468531948647661,-0.5135102422110187
0.8153553661618085,-0.5262496004387747
0.8798377893057182,-0.532792817699075
0.9441444033003933,-0.5343244808849518
1.0121402070507555,-0.5307412662300778
1.0750904580281293,-0.5239451045819338
1.141510345999806,-0.5150046512354481
1.203042672783542,-0.5053272806619705
1.2639248104802137,-0.49470867192859086
1.3282021355316895,-0.48278490775760335
1.3878840366958747,-0.471377797627396
1.450996859298766,-0.45918484873431353
1.5096139773287751,-0.44774338640849204
1.571588332448898,-0.4355453021799743
1.6291843001755009,-0.4241445009268335
1.6862705839363266,-0.4128205266385135
1.7466498572702116,-0.40083961520789413
1.802724199376234,-0.3897417564072221
1.858338339932908,-0.3788683852978831
1.917176249920552,-0.3675766202867068
1.9718691273933304,-0.3573473502324574
2.0297404767065363,-0.346882788192559
2.0835312724583344,-0.3375490869217143
2.1369038847791195,-0.32870072408838685
2.1933718093603503,-0.31978868167909613
2.2458414926079397,-0.31189594793816927
2.301351676126297,-0.30391520365002445
2.352890380793273,-0.2968040281067444
2.4039763497254176,-0.2899997100638299
2.457953151813147,-0.28303688146626715
2.508048211334371,-0.27675080620473325
2.5609821916974487,-0.2702617670315172
2.610089521909204,-0.2643607701343743
2.6587013882146477,-0.2586143965096508
2.710037207047121,-0.25263147068386943
2.7576515360184906,-0.24714503099049842
2.804757612303509,-0.24176590375362836
2.8544840782816117,-0.23613140278132833
2.900568226951874,-0.23094210748132912
2.9461633212849296,-0.22583294147771232
2.9942615777474053,-0.22046636517282586
3.038823621195289,-0.21551160862162524
3.085837318839934,-0.2103005466554345
3.1293798831565556,-0.2054839917720684
3.1724223010141928,-0.20073136305718525
3.217802129345689,-0.19572699261511756
3.2598076870778385,-0.1910999983698199
3.304079635118083,-0.18622797775587027
3.345063299893488,-0.18172061207260673
3.38553914986472,-0.17727091589085317
3.428187755328859,-0.17258425193340152
3.46763203064983,-0.16825096787900415
3.506583814085165,-0.16397261731469828
3.547599193386284,-0.15946805258439772
3.5855120976634676,-0.15530456743619592
3.625424319475425,-0.15092211077556494
3.6623071591886385,-0.1468728782157492
3.7011048588765094,-0.14261388745772316
3.7369729848187494,-0.1386767828556242
3.772330304690914,-0.13479628302352434
3.809508935116651,-0.13071689836321565
3.843824448036127,-0.1269520647265791
3.8776534846350947,-0.12323999140379303
3.9131900407311946,-0.11933961851245367
3.94597220147942,-0.11574085285465399
3.980406500505196,-0.11196012281658903
4.0121551256665535,-0.10847356331039035
4.045484687102707,-0.10481282699426984
4.0762018223952685,-0.10143856140623626
4.108428652651986,-0.09789792420280397
4.138118416093494,-0.09463543402749446
4.1692355140680855,-0.09121616097365856
4.197897944001721,-0.08806749537839621
4.226044412138761,-0.08497628215766928
4.255526950104512,-0.08173876899465272
4.282639170191935,-0.07876203040499992
4.309250943021721,-0.07584063181139616
4.337113867639066,-0.07278231394982398
4.3626929009394475,-0.06997557386972615
4.3877687654453466,-0.06722178587732312
4.413988532793669,-0.06434098583653351
4.438028739081315,-0.061698773741478696
4.463144028229748,-0.058939552237048415
4.486149083655537,-0.05641636006696328
4.510151237284112,-0.053784805131819796
4.532122885043517,-0.05137744822477186
4.553591150743787,-0.04902587667618916
4.575955492640513,-0.04657334754082237
4.5963867124813715,-0.04433004560626682
4.617636032755221,-0.04199494940663431
4.637039143192916,-0.039861295742332464
4.655931584375172,-0.03778385269047995
4.674329318817011,-0.035763566914707313
4.6934108569632835,-0.03366945332285221
4.710764236083492,-0.03176570125100449
4.728730157407748,-0.02979546929889209
4.745056955557787,-0.02802832545532204
4.760864630207963,-0.026248103950072748
4.777183938442973,-0.024313600312405766
4.787723581101984,-0.023063896724901486
4.7920194220102035,-0.022552206538882947
4.7952064167317765,-0.022166024021959236
4.7983579476647025,-0.021783137682079328
4.801658643696201,-0.021380018931814997
4.80465256640945,-0.02101034894755295
4.80759330616046,-0.020644691343311008
4.810714546260453,-0.020255677001862635
4.813565170715374,-0.019899207606320246
4.816415311127217,-0.01954170839682546
4.819365955929746,-0.019170986538806136
4.822117614292909,-0.018824107934091665
4.824979308773974,-0.018461600157841585
4.82761647054305,-0.01812635072791416
4.830374943966338,-0.01777488461030658
4.832903138007319,-0.017448540002767753
4.835411868073342,-0.017122322207407472
4.838065385105751,-0.016776294990916173
4.840495044380006,-0.016456864598260033
4.843026951964764,-0.016123137709001874
4.845432436828826,-0.01580960773354261
4.847823545768527,-0.015511377577848026
4.850354608556596,-0.015207926634449127
4.852682705989107,-0.014938708965023226
4.855114934629333,-0.014666664465938253
4.857357035442532,-0.014421691266698596
4.859573765874834,-0.014182778049307345
4.861909323142388,-0.013934378982149992
4.864031641826789,-0.01371120474146292
4.866136067624882,-0.013493078902162666
4.868352102710445,-0.01326607280029709
4.8703979818160255,-0.013059397481253206
4.872400390139302,-0.012858716804598108
4.874501569020461,-0.012651542137093286
4.876444742288029,-0.012461971178372565
4.878455492558601,-0.012268171877095072
4.8803288466312145,-0.012088929364840439
4.882164203732524,-0.011914461349532017
4.884089941210823,-0.011733373169500306
4.885851928945415,-0.011568748782162809
4.887717225534329,-0.011395887894202886
4.889439279382465,-0.011236773990857046
4.891256428511305,-0.01107058695492468
4.892918674918233,-0.010919134597846374
4.894549764698402,-0.010771741981858833
4.896264335513684,-0.010617961584106996
4.897835368185369,-0.010477632922027967
4.89949290202737,-0.010330975566886889
4.901015901996195,-0.010197816905265477
4.90252773397244,-0.01006732453045602
4.904083399619817,-0.009934514260242182
4.905540669664303,-0.00981220342050119
4.907061119287846,-0.009686337456261919
4.9084528373172125,-0.009571818233042222
4.909828692043176,-0.009459120832739587
4.911255800354383,-0.009343788306514517
4.912595397787464,-0.009239019178822316
4.913912267181029,-0.00913677307465418
4.915293208291533,-0.009030317331630202
4.916559594058546,-0.008933817269418234
4.917873657175218,-0.008835198105060709
4.919117062758692,-0.008742653767332687
4.920410031607623,-0.008647307009960928
4.921604594599739,-0.008560135032313535
4.922777275314717,-0.008475345299530623
4.923999874617248,-0.008387709975893321
4.925129335412931,-0.008307465278248145
4.926324937176833,-0.008223376584652508
4.927424859562108,-0.008146260189233678
4.928491841399992,-0.008071948068073776
4.929615926615164,-0.007994954421286315
4.930650346692964,-0.007927366893185427
4.931684786543088,-0.00786174500006313
