stamp,vel_trans,vel_ang
1780337626.0269241,0.2,0.0
1780337626.5277452,0.4960518341379194,-0.1360300742188093
1780337627.0291884,0.49299755197603645,-0.2512452375577342
1780337627.529014,0.5000533253089693,-0.415149880570629
1780337628.0289907,0.5388662313271181,-0.7042294525884119
1780337628.527924,0.5414263269186133,-0.6533987324352797
1780337629.0279107,0.5967182595283711,-0.8041419306722352
1780337629.5289195,0.6922845552436709,-0.8041419306722352
1780337630.0294228,0.761529970709117,-0.6877022813217298
1780337630.5289528,0.9613793716332539,-0.7270264042707546
1780337631.028975,0.9613793716332539,-0.7506841473670318
1780337631.5301166,1.3609207200361044,-0.4707732365321554
1780337632.0289237,1.7605421202692093,-0.36122202065383485
1780337632.52887,1.9600195122932322,-0.2524672473234877
1780337633.027565,2.358468164970004,-0.06078223181333889
1780337633.5283983,2.5573463445514926,-0.018766672977893337
1780337634.0288937,2.7559192032024193,0.0812647637786593
1780337634.5293186,2.7559192032024193,-0.0004871094322663472
1780337635.028978,2.954131338361891,0.160325657930463
1780337635.529014,2.9499392856476407,0.12856894134026348
1780337636.0280414,3.3450369458429385,0.32770417425098797
1780337636.528994,3.737726739350391,0.5254018240812146
1780337637.0297098,3.9330144411621,0.6235164421924011
1780337637.528906,3.9330144411621,0.6235164421924011
1780337638.0277023,4.127423628646632,0.7210175116545333
1780337638.5279076,4.200607896376571,0.8178099793030112
1780337639.0279207,4.170760427725324,0.8305763695546002
1780337639.5290937,4.141563330927708,0.8099397601989189
1780337640.0278323,4.109398874568421,0.7063608987290924
1780337640.5295124,4.078575491649879,0.7063608987290924
1780337641.02858,4.047292704839817,0.7063608987290924
1780337641.529643,4.013605185139839,0.500857281098443
1780337642.0290282,3.981925176702989,0.19616465176177486
1780337642.5289211,3.94810323354776,0.19616465176177486
1780337643.0288885,3.9164119751835917,0.09539414278462185
1780337643.5295126,3.884731847207698,0.09539414278462185
1780337644.0293584,3.8509545581690796,0.01653976104241921
1780337644.5287871,3.8193040672444614,0.01779007415859843
1780337645.0296896,3.785539235576362,0.016368528366487757
1780337645.5285952,3.7539015917980776,0.01313259071697126
1780337646.028505,3.7222647930029686,0.009409994194403526
1780337646.527893,3.6885136075531233,0.002359908679524861
1780337647.0290763,3.656883214399126,0.0002522216358451512
1780337647.527858,3.62313171922659,0.00019570362244575312
1780337648.029016,3.5915052906285987,-0.023195964045040724
1780337648.5289924,3.559874255429631,-0.03236781182488174
1780337649.0290809,3.5261183545755266,-0.043721398333642573
1780337649.527777,3.4944689526434414,-0.057626791810380704
1780337650.0286565,3.4606920275071547,-0.06505325156253286
1780337650.529196,3.4290269884368487,-0.06944225717646971
1780337651.028718,3.3973458090354813,-0.06839933879720954
1780337651.529101,3.363534011419274,-0.062006764635153304
1780337652.0288186,3.3318357936484015,-0.05669465502394805
1780337652.5279527,3.2979960716313577,-0.0485452401831515
1780337653.0277748,3.266281592602545,-0.041741807542157006
1780337653.5285177,3.234557125371341,-0.03570322540726325
1780337654.0299037,3.20071151188998,-0.02930851889005058
1780337654.529215,3.1689887101692857,-0.024447173194087443
1780337655.0296488,3.137246548988724,-0.02057020221907344
1780337655.5280406,3.103397020324402,-0.01664536723680217
1780337656.029304,3.0716679270399623,-0.013322111455777916
1780337656.5305681,3.039924011095202,-0.011186595472639775
1780337657.0298772,3.006064378840303,-0.009101065895665596
1780337657.5290263,2.9743305164254057,-0.007298504375818325
1780337658.0287876,2.940462830557852,-0.0057725348082125014
1780337658.5293806,2.908725994168175,-0.004793263499680754
1780337659.02803,2.8769830918792536,-0.0045906175051730475
1780337659.5294442,2.8431148972888285,-0.003314917750625146
1780337660.029055,2.811373696905296,-0.0028050965315019032
1780337660.528755,2.779611832555854,-0.0007902452063799081
1780337661.0297258,2.745743335061208,-0.0016884663117145374
1780337661.5292754,2.713992744700145,-0.0009322302396224079
1780337662.0297391,2.6801108308152206,-0.0010988693019802487
1780337662.5291052,2.6483620782481476,-0.0006874654151456452
1780337663.0296865,2.61660157507709,-0.0006603244161881572
1780337663.529264,2.5827243275843164,-0.0004133816701932802
1780337664.0290682,2.550970843146939,-0.0004133816701932802
1780337664.529086,2.5170792538211573,-0.00015866867318051203
1780337665.028068,2.4853224520399415,8.560344583524032e-05
1780337665.5288563,2.453558557564182,-9.269163807334654e-05
1780337666.027628,2.419660847777472,-0.00014179159461369384
1780337666.5279524,2.387898937621076,-0.0001413517473119602
1780337667.0290473,2.3540006164593574,-0.00013942852816023477
1780337667.528161,2.3222312860304135,2.37448994959491e-05
1780337668.0289872,2.290458137889552,-0.0001392779784031989
1780337668.5289743,2.2565532881677894,-0.0001390444664007423
1780337669.0289664,2.2247721810747194,-0.0001388345356114068
1780337669.5288103,2.190858535958104,-0.00013866914096453964
1780337670.0289931,2.1590834576663123,0.00023929944777378864
1780337670.5290058,2.127293802406415,0.00023929962957887352
1780337671.028804,2.0933790771232723,1.5312340789317195e-05
1780337671.5289342,2.061597792671758,-2.2815963843694775e-05
1780337672.0287008,2.0276778423973654,0.0002064986679682912
1780337672.5285623,1.995892110163772,0.00020628613319995104
1780337673.0284555,1.9619712450511608,5.4349415873455875e-05
1780337673.5291991,1.9301762572214398,0.00020578410961281934
1780337674.0287526,1.8983693843028309,0.0002055753068987698
1780337674.528971,1.8644425711101917,-0.0002416420028848905
1780337675.0286932,1.8326374530214098,-0.0002631435224344919
1780337675.5287218,1.7986972020957346,-0.0002628949060911878
1780337676.0287492,1.7668940466846745,-5.8777756829136996e-05
1780337676.5290024,1.7329547883873453,-0.00014198016120184342
1780337677.02904,1.7011459216396887,-0.0001419055925013929
1780337677.528884,1.6693341760251945,-8.496882414325835e-05
1780337678.0277724,1.6353657379934377,-0.00014168257321922617
1780337678.528947,1.603542193973216,0.0008374420161551405
1780337679.0293941,1.5717209571964361,0.0004633604419041343
1780337679.5277863,1.537742869208528,0.00025254350992347935
1780337680.029306,1.5059146359470645,0.00046306152868032247
1780337680.5286636,1.471927251253369,-0.0014975462536367112
1780337681.028631,1.440091440145722,-0.00015101697889882693
1780337681.5286987,1.4061098715328553,-0.0017358710262778548
1780337682.0286958,1.3742594210874806,2.309420791178629e-06
1780337682.528907,1.3424111908138117,0.0016501541911524004
1780337683.0295882,1.3084076520924783,0.0006597397829856896
1780337683.5291111,1.276550060552095,0.0007560286332972052
1780337684.029846,1.2446768052441188,0.0007123961766910825
1780337684.5289674,1.2106662010076894,0.00011402161769000219
1780337685.0299208,1.1787929431874251,-0.0021447794708440993
1780337685.5289142,1.1469023011453474,-0.0007181392758749405
1780337686.0287254,1.112859685621662,-0.0005373832910918475
1780337686.5287561,1.080968107002499,-0.000537218842110887
1780337687.0285912,1.0490570171777103,-0.000231767554094639
1780337687.5287962,1.015002680101378,0.0997683079690825
1780337688.028698,0.9830897054710881,7.251213426580035e-05
1780337688.5281224,0.7638473122938498,-3.830471773082732e-05
1780337689.029701,0.36379217778310874,0.0008619552098731165
1780337689.5298157,0.2062572387353792,0.004254333078679895
1780337690.028823,0.20133485335397755,0.008319887131036024
1780337690.529527,0.19756004581422854,0.0015604416407076294
1780337691.0292008,0.19188379619475077,0.017038411913859866
1780337691.5289066,0.1859594502329116,0.002519381954509972
1780337692.0292063,0.18847190441381378,0.002687408635642834
1780337692.5276387,0.182149459247811,0.0035501129358032468
1780337693.0298777,0.18259703475398126,0.0009454106493468895
1780337693.5286024,0.17388895262646353,0.002190230532828132
1780337694.0279062,0.17606008918001853,0.00012275603230601497
1780337694.5279884,0.17307161344940009,0.004042535494560587
1780337695.0290344,0.169602554406454,0.002189585891647902
1780337695.52905,0.16715637192819968,0.001523781524801182
1780337696.0286784,0.16151948717311032,0.03155036760308566
1780337696.5294,0.16221524813959462,0.00020166708006340468
1780337697.0287757,0.16072613677587633,0.002487282147023956
1780337697.5289464,0.15302333329563952,0.030373400573513894
1780337698.029427,0.15163282257826366,0.0010736736290123117
1780337698.5288546,0.14693419027101562,0.0013348373834565982
1780337699.0283227,0.15328166162446713,-0.04635155332160142
1780337699.5291986,0.15258532188842866,-0.03911245476064719
1780337700.0285068,0.1471601262773704,-0.045129591979353595
1780337700.5288472,0.14647772394707337,-0.029062259485866833
1780337701.0287426,0.14557283172590652,-0.019407353474621046
1780337701.529025,0.1399263357821764,-0.02762752738765543
1780337702.0278563,0.14054909804257246,-0.01515563914843408
1780337702.5287302,0.13777580052566787,-0.014549425436241048
1780337703.0289884,0.13514746687696574,-0.009808643774896268
1780337703.5286353,0.13335526510629203,-0.013120926276934203
1780337704.02795,0.12920357606923347,-0.010123845178232341
1780337704.528051,0.12940951808539308,-0.0027611967886522135
1780337705.0280912,0.12660273256560525,-0.009132102407317481
1780337705.5288126,0.12426413566981763,-0.00041961092016992024
1780337706.0284836,0.12075937314497635,-0.009804241085940517
1780337706.5278018,0.1205436623941408,-0.0029442240750575596
1780337707.0281417,0.11786814092301455,-0.0022982066820545714
1780337707.528187,0.1136553091638475,-0.009015344588164997
1780337708.0290127,0.11013208975569944,-0.00601649893687177
1780337708.5291793,0.1112085480410562,-0.01013256515000727
1780337709.0286748,0.11075479468815971,-0.0004346666096187949
1780337709.5287526,0.10836291342316651,-0.004558487697377919
1780337710.0287695,0.10698587754974193,-0.0003654845718740682
1780337710.5297322,0.10387936577403889,-0.00015131387639474598
1780337711.0294511,0.10261088790860863,-0.010216526530548067
1780337711.528996,0.09999820680485404,-0.004674501247745488
1780337712.0286381,0.10112950488256836,-0.008108838532490857
1780337712.5291007,0.09653466050765952,-0.0005680946648481903
1780337713.028636,0.09723839372057369,-0.028280201612037092
1780337713.529008,0.09411893145417162,-0.010130188253783812
1780337714.0278463,0.09357343170235422,-0.0020958560531071646
1780337714.5290174,0.09085917150839626,-0.04206703855153558
1780337715.0285509,0.08925315164913927,-0.002095832444648185
1780337715.5289538,0.08707632726101118,-0.0010081041544564295
1780337716.0278397,0.08748960949495399,-0.0022606753356559615
1780337716.5286124,0.08378259662643125,-0.07030240947970282
1780337717.0289052,0.08284182394307699,-0.003999762195334933
1780337717.5292249,0.08182895914412534,-0.0075281949197606324
1780337718.0283551,0.081309340191458,-0.0004071089628231578
1780337718.5290809,0.07810893873728589,-0.032782842215860176
1780337719.0286186,0.07966170814034725,-0.004434977436427345
1780337719.5286238,0.07509107355416905,-0.000133327809878514
1780337720.0296052,0.0763350456540311,-0.01162368436683208
1780337720.528565,0.0747091244477744,-0.0010710905119690126
1780337721.028142,0.07360254456701212,-0.011603882099298649
1780337721.5277088,0.07311478339832807,-0.0037463900973863165
1780337722.0278447,0.07189186865910506,-0.003844123217155157
1780337722.5295796,0.07017500323872261,-0.00101246284252894
1780337723.028973,0.06703944108273382,-0.011190848481610234
1780337723.5277586,0.0679374544925133,-0.006113045207979756
1780337724.0289423,0.06568288100153538,-0.0022671983351031447
1780337724.5292363,0.06574350941434494,-0.007114271560340805
1780337725.0280647,0.064338907505546,-0.011539117808024725
